distance_between_leaks: 10 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
302,117.3049022947761,114.90547923018251,1258.0811374287673,1250.223877331379
303,117.3048429799095,114.90540148369448,1258.0814811996822,1250.224235382335
304,117.30490240313203,114.9054558868597,1258.080481676069,1250.223248027611
305,117.30484865786275,114.90538433911154,1258.0807624398706,1250.2235429755024
306,117.30482081948482,114.90534162453656,1258.0807501189104,1250.223544371808
307,117.30491969312203,114.90543993418984,1258.0793042924197,1250.2221100147722
308,117.30487694079105,114.90538062115829,1258.0794606962786,1250.2222804072567
309,117.30495578217683,114.90545663597887,1258.0782414981143,1250.221073038014
310,117.30498512650472,114.90547756307951,1258.0775822678268,1250.2204265129787
311,117.30499963149394,114.90548197476524,1258.0770909176454,1250.2199481327332
312,117.30500954036394,114.90548127124381,1258.076651565291,1250.2195218315098
313,117.30501793456237,114.90547888205347,1258.0762293513635,1250.2191126895314
314,117.30502588843301,114.90547600280617,1258.0758121191643,1250.218708542236
315,117.30503369572585,114.9054729604378,1258.0753965453864,1250.2183060604618
316,117.30504146957121,114.90546988095599,1258.0749813536424,1250.2179039515418
317,117.30504921453611,114.90546676930924,1258.0745664881645,1250.217502178332
318,117.30505692867054,114.90546362343603,1258.0741519738765,1250.2171007511517
319,117.30506470397376,114.90546054564248,1258.073736767987,1250.2166986367035
320,117.30507244987658,114.90545743523201,1258.0733218976907,1250.216296850114
321,117.30508016776362,114.90545429361269,1258.0729073434961,1250.2158953901437
322,117.30508794450505,114.90545121756035,1258.072492125584,1250.215493262284
323,117.30509566202126,114.9054480756339,1258.0720775790599,1250.2150918071238
324,117.30510339888001,114.90544495533646,1258.0716628167136,1250.2146901277686
325,117.30511116719414,114.90544187002294,1258.071247697914,1250.2142881007233
326,117.30511888906729,114.90543873311786,1258.0708331073502,1250.2138865956035
327,117.30512664675777,114.90543563609678,1258.0704181119129,1250.2134846884305
328,117.3051343797107,114.90543251154378,1258.0700033969374,1250.2130830676106
329,117.30514213377953,114.90542941055745,1258.069588445174,1250.212681206425
330,117.30514987004291,114.90542628981926,1258.0691736967794,1250.2122795459977
331,117.30515760932506,114.90542317247942,1258.0687589151091,1250.2118778532272
332,117.30516535458622,114.90542006180428,1258.068344066396,1250.2114760976608
333,117.3051730920561,114.90541694254406,1258.0679293083952,1250.211074427025
334,117.3051808398482,114.90541383483303,1258.0675144353315,1250.2106726388367
335,117.30518856952975,114.90541070694438,1258.0670997670043,1250.210271064251
336,117.30519631493331,114.90540759667027,1258.066684924142,1250.2098693048508
337,117.30520405445252,114.90540447981718,1258.0662701469168,1250.2094676214904
338,117.30521180840987,114.9054013791258,1258.065855209538,1250.2090657704402
339,117.30521952398517,114.90539823573563,1258.0654407068143,1250.2086643583575
340,117.30522728219869,114.90539513985716,1258.065025723456,1250.208262462935
341,117.3052350288149,114.90539203109864,1258.0646108721253,1250.2078607020455
342,117.30524276186763,114.90538890731617,1258.0641961764902,1250.2074590930677
343,117.30525052283411,114.90538581462121,1258.0637811657377,1250.207057171618
344,117.30525824486382,114.9053826786535,1258.0633665973814,1250.2066556906452
345,117.30526599245854,114.90537957114078,1258.0629517402,1250.206253925806
346,117.30527373017738,114.90537645272308,1258.0625369973002,1250.2058522694972
347,117.30528147214986,114.90537333908452,1258.0621222073896,1250.2054505661717
348,117.30528922548712,114.90537023811325,1258.0617072900184,1250.2050487380527
349,117.30529696539337,114.90536712224103,1258.0612925258968,1250.2046470630578
350,117.30530470641851,114.90536400766347,1258.0608777504142,1250.2042453760635
351,117.30531244314508,114.90536088832768,1258.0604630248774,1250.2038437410095
352,117.3053201766559,114.90535776549368,1258.0600483377566,1250.203442139657
353,117.30532791611337,114.90535464930116,1258.0596335842285,1250.2030404744614
354,117.30533564877305,114.90535152550488,1258.0592189067877,1250.2026388965573
355,117.30534339663477,114.9053484187993,1258.0588040624082,1250.2022371336711
356,117.30535115249688,114.90534532099056,1258.0583891270253,1250.2018352870439
357,117.30535888723708,114.90534219971987,1258.0579744324177,1250.2014336808024
358,117.30536661842949,114.90533907451258,1258.0575597782986,1250.201032119551
359,117.3053743602064,114.90533596116023,1258.0571450068426,1250.2006304362344
360,117.30538209789522,114.90533284333601,1258.0567302836969,1250.2002287967941
361,117.30538986300634,114.90532975601153,1258.0563152499767,1250.1998268549119
362,117.30539758147461,114.90532661682647,1258.055900745456,1250.1994254420547
363,117.3054053286192,114.90532350963011,1258.0554859190256,1250.1990237023128
364,117.30541309424046,114.90532042304478,1258.0550708849198,1250.1986217541073
365,117.30542080982457,114.9053172808044,1258.0546564178771,1250.198220375242
366,117.30542855737063,114.9053141741199,1258.054241589121,1250.1978186421113
367,117.30543630916668,114.90531107232322,1258.0538267165675,1250.1974168495972
368,117.30544402995818,114.90530793596291,1258.0534121935525,1250.1970154207334
369,117.30545177692704,114.90530482880595,1258.0529973763223,1250.1966136937708
370,117.30545952491678,114.90530172282405,1258.052582549031,1250.1962119570585
