,leak_coeff: 0.5,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
297,117.35502028027193,114.9434077367236,1257.0161775810932,1251.6028492353973
298,117.35502540831428,114.94340534914639,1257.015893859389,1251.6025761615763
299,117.35503052335058,114.94340294712678,1257.0156102855458,1251.602303236117
300,117.35503565579673,114.94340056452036,1257.0153265156991,1251.6020301142282
301,117.35504074545544,114.94339813431893,1257.0150432314504,1251.6017574785913
302,117.35504587638273,114.94339575009084,1257.0147594807358,1251.6014843757564
303,117.35505100091069,114.94339335876948,1257.014475804017,1251.6012113468437
304,117.35505610414634,114.94339094378304,1257.014192368563,1251.6009385601747
305,117.3550612219826,114.94338854508139,1257.0139087693044,1251.6006656090512
306,117.35506635413653,114.9433861623529,1257.0136250087794,1251.6003924963668
307,117.3550714789571,114.9433837714929,1257.0133413325173,1251.600119468057
308,117.35507659895043,114.9433813752932,1257.013057711864,1251.599846495498
309,117.35508171739407,114.94337897740108,1257.0127741097915,1251.5995735416254
310,117.3550868365353,114.94337658032163,1257.0124905005616,1251.5993005805967
311,117.35509193366057,114.94337415876599,1257.012207141932,1251.5990278705406
312,117.35509706615859,114.94337177662173,1257.011923383714,1251.5987547600441
313,117.3551021940934,114.94336938943117,1257.0116396779983,1251.5984817023614
314,117.35510729302418,114.94336696998754,1257.011356302013,1251.5982089747033
315,117.35511241757446,114.94336457909677,1257.0110726367384,1251.5979359574085
316,117.35511755536857,114.94336220298051,1257.0107888227833,1251.597662791059
317,117.35512265039115,114.943359779288,1257.0105054935439,1251.5973901107109
318,117.35512778697839,114.94335740189487,1257.0102216954401,1251.597116960126
319,117.35513289266883,114.94335499014598,1257.0099382476396,1251.5968441606371
320,117.35513800427935,114.94335258501793,1257.009654734054,1251.5965712952855
321,117.35514312444988,114.94335018945397,1257.009371124383,1251.5962983336685
322,117.35514826933124,114.94334782142964,1257.009087235983,1251.5960250928918
323,117.35515337314975,114.94334540773076,1257.0088038135386,1251.5957523187299
324,117.35515849312888,114.94334301205232,1257.0085202093833,1251.5954793625313
325,117.3551636139233,114.94334061731614,1257.0082365967273,1251.5952063979921
326,117.35516872564584,114.94333821251617,1257.0079530876876,1251.5949335372538
327,117.35517384907213,114.94333582077758,1257.007669447434,1251.5946605447964
328,117.35517895779151,114.94333341269967,1257.007385974643,1251.5943877203538
329,117.35518408468916,114.94333102489261,1257.00710229707,1251.5941146905254
330,117.3551891934704,114.9433286169525,1257.0068188253738,1251.5938418672326
331,117.35519431521968,114.94332622348092,1257.0065352081242,1251.593568897899
332,117.35519942971267,114.94332382196477,1257.0062516738642,1251.5932960119771
333,117.3552045631665,114.94332144159009,1257.0059679261815,1251.5930229118285
334,117.35520966513259,114.94331902619882,1257.0056845357838,1251.5927501697824
